no.	maxl2sqr	time
9000	0.026118766516447067	0:06:10.545379
9020	0.03028593584895134	0:06:09.763695
9040	0.022496797144412994	0:06:08.202875
9060	0.024948813021183014	0:06:49.520585
9080	0.02553507126867771	0:06:23.105140
9100	0.020979203283786774	0:06:57.916757
9120	0.01225768681615591	0:06:09.867695
9140	0.012984507717192173	0:06:09.077076
9160	0.025777028873562813	0:06:08.646256
9180	0.02061299793422222	0:07:35.406777
9200	0.021867239847779274	0:08:00.481353
9220	0.023162171244621277	0:09:05.356641
9240	0.026544280350208282	0:06:56.579841
9260	0.019516412168741226	0:06:15.961849
9280	0.024413738399744034	0:06:14.237330
9300	0.025292182341217995	0:06:13.398957
9320	0.016304025426506996	0:06:12.611437
9340	0.018481701612472534	0:06:13.594271
9360	0.0228916984051466	0:06:13.261734
9380	0.01940678432583809	0:06:14.096551
9400	0.02593308314681053	0:06:12.982278
9420	0.021517803892493248	0:06:13.768156
9440	0.023957017809152603	0:06:13.302433
9460	0.021909985691308975	0:06:12.325805
9480	0.02953927218914032	0:06:13.590594
9500	0.027971476316452026	0:06:12.397279
9520	0.013175871223211288	0:06:13.899980
9540	0.014787454158067703	0:06:13.757587
9560	0.02122998982667923	0:06:17.475422
9580	0.019060418009757996	0:06:13.086243
9600	0.016981203109025955	0:06:13.511179
9620	0.01578676328063011	0:06:13.146272
9640	0.02231757342815399	0:06:13.222354
9660	0.03041720949113369	0:06:13.372236
9680	0.021785147488117218	0:06:10.235422
9700	0.018358083441853523	0:06:09.807158
9720	0.028534742072224617	0:06:13.548450
9740	0.028088349848985672	0:06:14.742949
9760	0.016428139060735703	0:06:15.859664
9780	0.025196699425578117	0:06:15.757189
9800	0.023884445428848267	0:06:16.915928
9820	0.020699042826890945	0:06:14.563964
9840	0.018153801560401917	0:06:11.294831
9860	0.020372530445456505	0:06:23.548966
9880	0.018730800598859787	0:06:14.804394
9900	0.02157939039170742	0:06:14.774906
9920	0.020483115687966347	0:07:07.673423
