no.	maxl2sqr	time
0	0.014005414995981503	0:04:18.859995
20	0.012891384838639905	0:04:18.835796
40	0.007742251893249523	0:04:18.445735
60	0.01760058126729877	0:04:18.226151
80	0.01350832903960695	0:04:18.115528
100	0.013946843115209351	0:04:18.241093
120	0.015426137842906813	0:04:18.250851
140	0.01182620683616294	0:04:18.391286
160	0.01353487305685076	0:04:18.227436
180	0.008271355569947231	0:04:18.382451
200	0.01562773830574137	0:04:18.141964
220	0.011155908506341105	0:04:18.130250
240	0.012314498949366644	0:04:18.183221
260	0.02109328737818457	0:04:18.215234
280	0.012896673977081503	0:04:18.080613
300	0.01226818929186305	0:04:18.268225
320	0.010110889074096872	0:04:18.110286
340	0.010759131023357987	0:04:18.031735
360	0.017002799988878135	0:04:18.154331
380	0.018462769695956407	0:04:18.103697
400	0.017430092438388323	0:04:18.109541
420	0.014759185320584869	0:04:18.197108
440	0.016023716171012614	0:04:18.152806
460	0.011643977021702813	0:04:18.288127
480	0.010042274011599829	0:04:18.228823
500	0.016159620501143664	0:04:18.309823
520	0.013845890909265354	0:04:18.197243
540	0.01792990046563415	0:04:24.991011
560	0.011750441290058032	0:04:21.305335
580	0.013130002643075851	0:04:18.664961
600	0.012827378293357145	0:04:18.524132
620	0.015027686706582152	0:04:18.717582
640	0.008705125619106894	0:04:18.989048
660	0.01646412830652639	0:04:18.741226
680	0.013839441887573098	0:04:18.562662
700	0.009443673832650662	0:04:18.785420
720	0.018722659897604292	0:04:18.710191
740	0.012500192255745977	0:04:18.582777
760	0.011435999611366422	0:04:18.605917
780	0.01806224852883815	0:04:18.950012
800	0.013886106174330873	0:04:18.641363
820	0.015323695108409995	0:04:18.848315
840	0.009501747835892782	0:04:18.616696
860	0.016731994411903314	0:04:18.811018
880	0.013390776941171637	0:04:18.660022
900	0.008396039101535614	0:04:18.595542
920	0.009453177209304366	0:04:18.550115
940	0.01229918756966259	0:04:18.802593
960	0.011796310582424143	0:04:18.791902
980	0.01872395871193808	0:04:15.773413
1000	0.012407491404903884	0:04:17.331276
1020	0.01308443202349969	0:04:17.085141
1040	0.007589719919518019	0:04:17.007715
1060	0.017605446286857493	0:04:16.421133
