no.	maxl2sqr	time
9000	0.020240467117561493	0:00:26.987499
9020	0.0306210075647176	0:00:27.165837
9040	0.0143515191267565	0:00:26.972350
9060	0.029232727560355616	0:00:27.236873
9080	0.014149429139565513	0:00:27.385811
9100	0.022417535518010123	0:00:27.345617
9120	0.01878401380440308	0:00:27.342330
9140	0.015785867733123116	0:00:26.995744
9160	0.012980493995588564	0:00:26.995530
9180	0.020215072283367896	0:00:26.974724
9200	0.009008465267143514	0:00:26.960917
9220	0.021922878798070436	0:00:26.987016
9240	0.012731921754110155	0:00:27.295444
9260	0.007205997245647194	0:00:27.364374
9280	0.01569422323219929	0:00:27.347504
9300	0.023569005675457798	0:00:27.288788
9320	0.015699792887657184	0:00:27.158545
9340	0.03359771261252439	0:00:26.963497
9360	0.018092091344139662	0:00:26.947229
9380	0.01669817864072793	0:00:27.009980
9400	0.025841272867219975	0:00:26.965033
9420	0.023775423228755803	0:00:27.178654
9440	0.028804861195821277	0:00:27.337776
9460	0.00886252477878122	0:00:27.344440
9480	0.007791579696416465	0:00:27.354760
9500	0.01855167501835842	0:00:27.361935
9520	0.03630045013521941	0:00:27.009552
9540	0.01800730728692565	0:00:26.673220
9560	0.020466078815370936	0:00:16.459702
9580	0.01839421804166493	0:00:16.878583
9600	0.009978633994294545	0:00:16.889333
9620	0.017964938087923033	0:00:16.922136
9640	0.014816666882736671	0:00:16.853699
9660	0.026895031002741727	0:00:16.197752
9680	0.019795043560052936	0:00:16.095329
9700	0.016981433295737487	0:00:16.106127
9720	0.012259097924861715	0:00:16.004594
9740	0.014402184364698535	0:00:16.036589
9760	0.014339933499159194	0:00:15.922781
9780	0.007993144207823826	0:00:15.908636
9800	0.03575421100925937	0:00:15.758755
9820	0.01829462832948574	0:00:15.479677
9840	0.017038918004982948	0:00:15.213034
9860	0.009417867660627919	0:00:15.274352
9880	0.02847954760801407	0:00:15.204480
9900	0.01838222631762288	0:00:15.197867
9920	0.01957829093339357	0:00:15.208167
9940	0.027532472728862004	0:00:15.183887
9960	0.020334197568843016	0:00:14.740346
9980	0.02381154621088311	0:00:14.305391
8000	0.017271611294452656	0:00:27.103791
8020	0.008539894350695184	0:00:20.314789
8040	0.01355856264984102	0:00:17.686582
8060	0.011755675134311168	0:00:17.805054
8080	0.007145172134838592	0:00:17.926023
8100	0.021394407040988175	0:00:17.757738
8120	0.02023104110763078	0:00:17.789329
8140	0.0070433636421270256	0:00:17.821901
8160	0.025330135534265313	0:00:17.587587
8180	0.008364403761998221	0:00:16.973724
8200	0.01554228376162255	0:00:16.931023
