no.	maxl2sqr	time
32500	0.09026116874702403	7:52:21.511741
32600	0.14438975941706234	7:27:31.822477
32700	0.5251585477659735	7:48:21.715750
32800	0.6397957544924269	8:01:37.716783
32900	0.4381451452482037	8:13:29.269818
33000	0.42590960460692956	8:07:20.953619
33100	0.0908279497659391	8:05:26.566853
33200	0.3652411400270906	8:06:06.523876
33300	0.17579990477191057	8:09:41.892411
33400	0.4413407202627818	8:09:05.932018
33500	0.5914937009147435	7:28:36.048608
33600	0.11354666728149998	7:43:39.784086
33700	0.3752129438797932	8:05:41.964634
33800	0.385771189485674	8:07:28.629327
33900	0.1555439461841284	7:55:57.659942
34000	0.0515502011859046	8:03:55.042685
34100	0.20972762841276685	8:03:42.834372
34200	0.3098271716252915	7:54:36.869982
34300	0.32920732267451136	7:58:03.847175
34400	0.6321179871506586	8:00:38.214557
34500	0.4238816721966165	7:51:18.688356
34600	0.46441475769201707	7:48:58.923070
34700	0.6443439220456662	8:03:21.526759
34800	0.42334640316347927	7:30:08.576973
34900	0.42147307748939306	4:19:05.204955
17500	0.6051458700936792	8:20:37.809812
17600	0.7906032731902773	8:30:19.137073
17700	0.5530642957094183	8:16:06.306356
17800	0.838973672057916	8:07:56.334057
17900	0.15209510379001295	9:04:30.645167
18000	0.4348885269681042	8:18:07.647183
18100	0.2576239927839664	8:37:45.749080
18200	0.28870939465299145	8:31:20.063389
18300	0.2844613277479682	8:13:48.666058
18400	0.3951285157678489	8:14:04.532936
18500	0.4099871637916976	8:22:11.290822
18600	0.13401836374988724	8:18:58.301482
18700	0.23865557800816087	8:17:34.923718
18800	0.6363826273019932	8:09:27.659488
18900	0.35947471088971694	8:09:54.980027
19000	0.39688022538343076	8:16:57.741369
19100	0.23790960520872106	8:14:57.897951
19200	0.37234716722439276	8:08:36.921413
19300	0.18890635248000448	8:11:36.944753
19400	0.22935535237093974	8:33:59.249617
19500	0.17442071375862808	8:29:58.758066
19600	0.3780802870701098	8:29:36.106281
19700	0.5093204507652396	8:37:18.332096
19800	0.7461296797033135	8:32:54.610513
19900	0.626444264469951	8:29:09.879509
37500	0.12336086566715165	7:38:10.813993
37600	0.5201662401636734	16:01:32.957281
37700	0.2845360458313334	7:44:03.881605
37800	0.3469024216126174	7:45:59.727646
37900	0.5473734544314689	7:46:08.896780
38000	0.20236845997536843	7:29:56.202863
38100	0.3351161848144945	7:34:57.464112
38200	0.2126323099012164	7:40:53.142501
38300	0.46654796753278627	7:44:18.136557
38400	0.3345904530440472	7:55:22.938644
38500	0.31560350902875123	7:26:03.613883
38600	0.2118939355317242	7:29:32.884562
38700	0.403278722882301	7:46:38.210024
38800	0.493275714682581	7:30:44.759372
38900	0.3520109803259448	7:28:15.753894
39000	0.29781211572683014	7:26:10.490322
39100	0.38191959117682095	7:25:11.322719
39200	0.4226280666423669	7:34:56.158630
39300	0.5529422655275128	7:21:11.557439
39400	0.4272307916969824	7:26:34.791651
39500	0.4634762281847542	7:29:25.110221
39600	1.2895331408493604	7:30:04.898603
39700	0.3965792576562016	7:44:02.552757
39800	0.3060939052704166	7:28:22.910143
39900	0.7437655520352546	7:13:29.761240
12500	0.3368759619130255	8:59:47.255853
12600	0.1786702647070323	8:41:29.747366
12700	0.4838418394419205	8:47:32.107857
12800	0.3297891899292149	8:49:29.390912
12900	0.2482693499921537	8:45:25.759560
13000	0.1611476048945632	8:56:35.607309
13100	0.21280886185232814	8:44:07.363398
13200	0.47334666622949917	8:50:16.521801
13300	0.17366043358798106	8:40:54.798018
13400	0.3385981812753999	8:44:31.585261
13500	0.35386573704697927	8:47:19.876630
13600	0.19586947010417846	8:42:09.552276
13700	0.289420108838672	8:47:09.412697
13800	0.30604737963223316	8:14:05.884781
13900	0.36054825984701355	8:18:10.934722
14000	0.9278185170744597	8:13:45.835564
